Symbol,Name,Exchange,Latest,Sector,Industry,"9M %Chg"
DTE,"Dte Energy Company",NYSE,147.75,Utilities,"Utility - Electric Power",+4.24%
DUK,"Duke Energy Corp",NYSE,125.22,Utilities,"Utility - Electric Power",-2.35%
DVA,"Davita Healthcare Partners",NYSE,231.42,Medical,"Medical - Outpatient & Hm Care",+83.83%
DVN,"Devon Energy Corp",NYSE,42.55,Oils-Energy,"Oil - US Exploration & Product",+30.59%
DXCM,"Dexcom Inc",NASDAQ,74.39,Medical,"Medical Instruments",+13.89%
EA,"Electronic Arts Inc",NASDAQ,207.38,"Consumer Discretionary",Gaming,+3.23%
EBAY,"Ebay Inc",NASDAQ,112.96,Retail-Wholesale,"Internet Commerce",+24.31%
ECHO,"Echostar Corp",NASDAQ,94.93,"Computers and Technology","Satellite Communication",+24.79%
ECL,"Ecolab Inc",NYSE,271.46,"Basic Materials","Chemical - Specialty",-1.31%
ED,"Consolidated Edison Company",NYSE,111.16,Utilities,"Utility - Electric Power",+8.97%
EFX,"Equifax Inc",NYSE,171.86,"Business Services",Consulting,-24.86%
EG,"Everest Re Group",NYSE,363.93,Finance,"Insurance - Multi Line",+4.95%
EIX,"Edison International",NYSE,76.81,Utilities,"Utility - Electric Power",+35.83%
EL,"Estee Lauder Companies",NYSE,82.87,"Consumer Staples","Cosmetics & Toiletries",-13.03%
ELV,"Elevance Health Inc",NYSE,389.95,Medical,"Medical Services",+11.90%
EME,"Emcor Group",NYSE,766.06,Construction,"Building - Heavy Construction",+9.17%
EMR,"Emerson Electric Company",NYSE,136.57,"Industrial Products","Machinery - Electrical",+3.93%
EOG,"Eog Resources",NYSE,136.25,Oils-Energy,"Oil - US Exploration & Product",+25.71%
EQIX,"Equinix Inc",NASDAQ,1017.98,Finance,"REIT - Equity Trust Retail",+23.82%
EQR,"Equity Residential",NYSE,68.65,Finance,"REIT - Equity Trust Resident",+10.92%
EQT,"Eqt Corp",NYSE,49.3,Oils-Energy,"Oil - US Exploration & Product",-10.80%
ERIE,"Erie Indemnity Company",NASDAQ,221.23,Finance,"Insurance - Brokers",-29.08%
ES,"Eversource Energy",NYSE,74.16,Utilities,"Utility - Electric Power",+2.85%
ESS,"Essex Property Trust",NYSE,295.71,Finance,"REIT - Equity Trust Resident",+15.46%
ETN,"Eaton Corp",NYSE,409.58,"Industrial Products","Machinery - Electrical",+5.77%
ETR,"Entergy Corp",NYSE,114.58,Utilities,"Utility - Electric Power",+17.65%
EVRG,"Evergy Inc",NASDAQ,85.63,Utilities,"Utility - Electric Power",+9.28%
EW,"Edwards Lifesciences Corp",NYSE,88.25,Medical,"Medical Instruments",+20.79%
EXC,"Exelon Corp",NASDAQ,46.35,Utilities,"Utility - Electric Power",-2.80%
EXE,"Expand Energy Corporation",NASDAQ,87.32,Oils-Energy,"Other Alt Energy",-15.20%
EXPD,"Expeditors Intl",NYSE,177.82,Transportation,"Transportation - Services",+51.15%
EXPE,"Expedia Group Inc",NASDAQ,268.66,"Consumer Discretionary","Leisure & Recreation Services",+23.03%
EXR,"Extra Space Storage Inc",NYSE,145.79,Finance,"REIT - Equity Trust Other",-2.48%
F,"Ford Motor Company",NYSE,14.25,Auto-Tires-Trucks,"Auto - Domestic",+20.88%
FANG,"Diamondback Energy",NASDAQ,188.63,Oils-Energy,"Oil - US Exploration & Product",+33.03%
FAST,"Fastenal Company",NASDAQ,45.22,"Industrial Products","Industrial Services",+7.15%
FCX,"Freeport-Mcmoran Inc",NYSE,60.53,"Basic Materials","Mining - Non Ferrous",+43.59%
FDS,"Factset Research Systems",NYSE,252.24,"Business Services","Business Information",-10.60%
FDX,"Fedex Corp",NYSE,317.76,Transportation,"Transportation - Air Freight",+68.25%
FDXF,"Fedex Freight Holding Company Inc",NYSE,142.19,Transportation,"Transportation - Services",N/A
FE,"Firstenergy Corp",NYSE,48.96,Utilities,"Utility - Electric Power",+2.75%
FFIV,"F5 Inc",NASDAQ,418.25,"Computers and Technology","Internet - Software",+26.21%
FICO,"Fair Isaac and Company",NYSE,1213.31,"Computers and Technology","IT Services",-26.26%
